台帳ID,管理対象ID,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,都道府県,所在地,保管施設の名称,所有者名,管理団体又は責任者,緯度,経度
"401","26","アポイ岳高山植物群落","","史跡名勝記念物","特別天然記念物","","","","19390907","19520329","北海道","様似郡様似町","","","","42.11377882","143.03191054"
"401","58","ウサクマイ遺跡群","","史跡名勝記念物","史跡","","","","19790523","","北海道","千歳市蘭越","","","","42.81837213","141.57521006"
"401","57","エゾミカサリュウ化石","","史跡名勝記念物","天然記念物","","","","19770716","","北海道","三笠市幾春別錦町1-212-1","三笠市立博物館","","","43.26126040","141.96281101"
"401","12","オオミズナギドリ繁殖地","","史跡名勝記念物","天然記念物","","","","19280324","","北海道","松前郡松前町","","","","41.51155922","139.35728908"
"401","61","オタフンベチャシ跡","","史跡名勝記念物","史跡","","","","19810829","","北海道","十勝郡浦幌町","","","","42.82542292","143.84280360"
"401","3254","オンネトー湯の滝マンガン酸化物生成地","","史跡名勝記念物","天然記念物","","","","20000906","","北海道","足寄郡足寄町","","","","43.37020916","143.97749737"
"401","3413","カリンバ遺跡","","史跡名勝記念物","史跡","","","","20050302","","北海道","恵庭市","","","","42.88870998","141.59483917"
"401","60","キウス周堤墓群","","史跡名勝記念物","史跡","","","","19791023","","北海道","千歳市中央","","","","42.88578385","141.71640587"
"401","3204","シベチャリ川流域チャシ跡群及びアッペツチャシ跡","","史跡名勝記念物","史跡","","","","19971202","","北海道","日高郡新ひだか町、沙流郡日高町","","","","42.32935358","142.37250173"
"401","8","ヒノキアスナロおよびアオトドマツ自生地","","史跡名勝記念物","天然記念物","","","","19221012","","北海道","檜山郡江差町","","","","41.81981428","140.20850412"
"401","00003649","ピリカノカ
　九度山（クトゥンヌプリ）
　黄金山（ピンネタイオルシペ）
　神威岬（カムイエトゥ）
　襟裳岬（オンネエンルム）
　瞰望岩（インカルシ）
　カムイチャシ
　絵鞆半島外海岸
　十勝幌尻岳（ポロシリ）
　幌尻岳（ポロシリ）
　オキクルミのチャシ及びムイノカ","","史跡名勝記念物","名勝","","","","20090723","","北海道","名寄市、石狩市、枝幸郡浜頓別町・枝幸町、幌泉郡えりも町、紋別郡遠軽町、虻田郡豊浦町、帯広市、室蘭市、河西郡中札内村、沙流郡平取町","","","","42.32719146","140.94096308"
"401","75","ピリカ遺跡","","史跡名勝記念物","史跡","","","","19940426","","北海道","瀬棚郡今金町","","","","42.47658785","140.20462821"
"401","35","フゴッペ洞窟","","史跡名勝記念物","史跡","","","","19531114","","北海道","余市郡余市町","","","","43.19480151","140.83818127"
"401","18","モシリヤ砦跡","","史跡名勝記念物","史跡","","","","19351224","","北海道","釧路市城山一丁目","","","","42.98359641","144.39600128"
