台帳ID,管理対象ID,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,都道府県,所在地,保管施設の名称,所有者名,管理団体又は責任者,緯度,経度
"102","3697","遺愛学院（旧遺愛女学校）","旧宣教師館","国宝・重要文化財(建造物)","重要文化財","近代／学校","","明治","20010615","","北海道","北海道函館市杉並町23番地11","","学校法人遺愛学院","","41.78569900","140.75697605"
"102","00003904","遺愛学院（旧遺愛女学校）","本館","国宝・重要文化財(建造物)","重要文化財","近代／学校","","明治","20041210","","北海道","北海道函館市杉並町23番地11","","学校法人遺愛学院","","41.78705694","140.75734441"
"102","23","旧旭川偕行社","","国宝・重要文化財(建造物)","重要文化財","近代／文化施設","","明治","19890519","","北海道","北海道旭川市四区一条一丁目","","旭川市","","43.80558911","142.36431901"
"102","38","旧下ヨイチ運上家","","国宝・重要文化財(建造物)","重要文化財","近世以前／その他","","江戸末期","19711228","","北海道","北海道余市郡余市町入舟町10番地","","余市町","","43.19788747","140.78816085"
"102","39","旧花田家番屋（北海道留萌郡小平町）","","国宝・重要文化財(建造物)","重要文化財","近代／住居","","明治","19711228","","北海道","北海道留萌郡小平町字鬼鹿広富35番地2","","小平町","","44.13710644","141.65530403"
"102","00004621","旧開拓使工業局庁舎","","国宝・重要文化財(建造物)","重要文化財","近代／官公庁舎","","明治","20130807","","北海道","北海道札幌市厚別区厚別町小野幌","","北海道","","43.04736948","141.49893428"
"102","36","旧笹浪家住宅（北海道檜山郡上ノ国町）","土蔵","国宝・重要文化財(建造物)","重要文化財","近世以前／民家","","明治","19920121","","北海道","北海道檜山郡上ノ国町字上ノ国236番地","","上ノ国町","","41.80331952","140.10393222"
"102","35","旧笹浪家住宅（北海道檜山郡上ノ国町）","主屋","国宝・重要文化財(建造物)","重要文化財","近世以前／民家","","江戸後期","19920121","","北海道","北海道檜山郡上ノ国町字上ノ国236番地","","上ノ国町","","41.80340534","140.10432497"
"102","3","旧札幌農学校演武場（時計台）","","国宝・重要文化財(建造物)","重要文化財","近代／学校","","明治","19700617","","北海道","北海道札幌市中央区北一条西二丁目1番地の1","","札幌市","","43.06255880","141.35353324"
"102","24","旧三戸部家住宅（北海道有珠郡伊達町）","","国宝・重要文化財(建造物)","重要文化財","近代／住居","","明治","19711228","","北海道","北海道伊達市字梅本町61番地の2","","伊達市","","42.47293847","140.87503370"
