台帳ID,管理対象ID,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,都道府県,所在地,保管施設の名称,所有者名,管理団体又は責任者,緯度,経度
"101","00005398","ＪＲ小樽駅プラットホーム","","登録有形文化財(建造物)","交通","その他工作","","昭和前","20060327","","北海道","北海道小樽市稲穂2-22-15","","北海道旅客鉄道株式会社","","43.19771751","140.99354665"
"101","00005397","ＪＲ小樽駅本屋","","登録有形文化財(建造物)","交通","建築物","","昭和前","20060327","","北海道","北海道小樽市稲穂2-22-15","","北海道旅客鉄道株式会社","","43.19764691","140.99372864"
"101","00002498","あさでん春光整備工場（旧陸軍第七師団騎兵第七連隊覆馬場）","","登録有形文化財(建造物)","その他","建築物","","明治","20011120","","北海道","北海道旭川市春光3条7丁目231","","旭川電気軌道株式会社","","43.80292100","142.37069700"
"101","00001841","エドウィン・ダン記念館（旧北海道庁真駒内種畜場事務所）","","登録有形文化財(建造物)","産業1次","建築物","","明治","20000926","","北海道","北海道札幌市南区真駒内泉町1-6-1","","札幌市","","42.98898587","141.35236232"
"101","00004487","ニッカウヰスキー北海道工場リキュール棟","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20050209","","北海道","北海道余市郡余市町黒川町7-6-1、7-95","","ニッカウヰスキー株式会社","","43.18675841","140.79111175"
"101","00004491","ニッカウヰスキー北海道工場旧竹鶴邸","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20050209","","北海道","北海道余市郡余市町黒川町7-6-1、7-95","","ニッカウヰスキー株式会社","","43.18583144","140.79066327"
"101","00004490","ニッカウヰスキー北海道工場研究室","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20050209","","北海道","北海道余市郡余市町黒川町7-6-1、7-95","","ニッカウヰスキー株式会社","","43.18653096","140.79086848"
"101","00004683","ニッカウヰスキー北海道工場事務所棟","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20050209","","北海道","北海道余市郡余市町黒川町7-6-1、7-95","","ニッカウヰスキー株式会社","","43.18730900","140.79184000"
"101","00004485","ニッカウヰスキー北海道工場蒸溜棟","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20050209","","北海道","北海道余市郡余市町黒川町7-6-1、7-95","","ニッカウヰスキー株式会社","","43.18691300","140.79135100"
"101","00004488","ニッカウヰスキー北海道工場第一乾燥塔","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20050209","","北海道","北海道余市郡余市町黒川町7-6-1、7-95","","ニッカウヰスキー株式会社","","43.18740500","140.79122900"
"101","00004492","ニッカウヰスキー北海道工場第一貯蔵庫","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20050209","","北海道","北海道余市郡余市町黒川町7-6-1、7-95","","ニッカウヰスキー株式会社","","43.18530220","140.79056896"
"101","00004489","ニッカウヰスキー北海道工場第二乾燥塔","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20050209","","北海道","北海道余市郡余市町黒川町7-6-1、7-95","","ニッカウヰスキー株式会社","","43.18733996","140.79112438"
"101","00004486","ニッカウヰスキー北海道工場貯蔵棟","","登録有形文化財(建造物)","産業2次","建築物","","昭和前","20050209","","北海道","北海道余市郡余市町黒川町7-6-1、7-95","","ニッカウヰスキー株式会社","","43.18684400","140.79124500"
"101","00001650","プレイリー・ハウス（旧佐田邸）","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20000428","","北海道","北海道函館市元町32-43他","","","","41.76512500","140.71176774"
"101","00010713","旭川市市民活動交流センターホール棟（旧国鉄旭川車両センター第二木機職場）","","登録有形文化財(建造物)","交通","建築物","","明治","20151117","","北海道","北海道旭川市宮前一条三丁目13","","旭川市","","43.75683100","142.37177600"
"101","00010712","旭川市市民活動交流センター市民活動支援棟（旧国鉄旭川車両センター木機乾燥場）","","登録有形文化財(建造物)","交通","建築物","","明治","20151117","","北海道","北海道旭川市宮前一条三丁目13","","旭川市","","43.75701100","142.37116700"
"101","00004685","遺愛学院（旧遺愛女学校）謝恩館","","登録有形文化財(建造物)","学校","建築物","","大正","20050712","","北海道","北海道函館市杉並町64-1","","学校法人遺愛学院","","41.78723500","140.75764500"
"101","00002734","遺愛学院講堂","","登録有形文化財(建造物)","学校","建築物","","昭和前","20020625","","北海道","北海道函館市杉並町64-1","","学校法人遺愛学院","","41.78751800","140.75717200"
"101","00010088","遠藤家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","大正","20141007","","北海道","北海道札幌市中央区南6条西5-18他","","","","43.05324700","141.35104400"
"101","00010089","遠藤家住宅蔵","","登録有形文化財(建造物)","住宅","建築物","","大正","20141007","","北海道","北海道札幌市中央区南6条西5-18他","","","","43.05324700","141.35104400"
"101","00010090","遠藤家住宅南石蔵","","登録有形文化財(建造物)","住宅","建築物","","大正","20141007","","北海道","北海道札幌市中央区南6条西5-18他","","","","43.05324700","141.35104400"
"101","00010092","遠藤家住宅表門","","登録有形文化財(建造物)","住宅","その他工作","","大正","20141007","","北海道","北海道札幌市中央区南6条西5-18","","","","43.05310572","141.35116023"
"101","00010093","遠藤家住宅塀","","登録有形文化財(建造物)","住宅","その他工作","","大正","20141007","","北海道","北海道札幌市中央区南6条西5-18","","","","43.05329612","141.35089650"
"101","00010091","遠藤家住宅北石蔵","","登録有形文化財(建造物)","住宅","建築物","","大正","20141007","","北海道","北海道札幌市中央区南6条西5-18他","","","","43.05324700","141.35104400"
"101","00011612","宮本商産旧本社ビル","","登録有形文化財(建造物)","産業3次","建築物","","大正","20170628","","北海道","北海道帯広市西二条南五丁目1他","","宮本商産株式会社","","42.92650889","143.20110083"
"101","00009569","旧岡田家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20130621","","北海道","北海道旭川市5条通16-1099他","","一般財団法人旧岡田邸２００年財団","","43.76616165","142.37386221"
"101","00009570","旧岡田家住宅蔵","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20130621","","北海道","北海道旭川市5条通16-1099他","","一般財団法人旧岡田邸２００年財団","","43.76600461","142.37376703"
"101","00000557","旧国鉄根北線越川橋梁","","登録有形文化財(建造物)","交通","土木構造物","","昭和前","19980723","","北海道","北海道斜里郡斜里町字越川245-8他","","斜里町","","43.84710939","144.80115869"
"101","00003020","旧国鉄士幌線音更トンネル","","登録有形文化財(建造物)","交通","土木構造物","","昭和前","20030131","","北海道","北海道河東郡上士幌町字幌加2-6","","上士幌町","","43.43784553","143.15076544"
"101","00011613","旧国鉄士幌線糠平川橋梁","","登録有形文化財(建造物)","交通","土木構造物","","昭和中","20170628","","北海道","北海道河東郡上士幌町字ぬかびら源泉郷48-3～49-6","","上士幌町","","43.23264722","143.29623306"
"101","00011614","旧国鉄士幌線三の沢橋梁","","登録有形文化財(建造物)","交通","土木構造物","","昭和中","20170628","","北海道","北海道河東郡上士幌町字ぬかびら源泉郷51-9～20-6","","上士幌町","","43.23264722","143.29623306"
"101","00001213","旧国鉄士幌線十三の沢橋梁","","登録有形文化財(建造物)","交通","土木構造物","","昭和前","19990823","","北海道","北海道河東郡上士幌町字幌加4-4","","上士幌町","","43.49294162","143.14450743"
"101","00001212","旧国鉄士幌線第五音更川橋梁","","登録有形文化財(建造物)","交通","土木構造物","","昭和前","19990823","","北海道","北海道河東郡上士幌町字幌加2-8、3-1","","上士幌町","","43.45353862","143.14700056"
"101","00001211","旧国鉄士幌線第三音更川橋梁","","登録有形文化財(建造物)","交通","土木構造物","","昭和前","19990823","","北海道","北海道河東郡上士幌町字黒石平51-1、52","","上士幌町","","43.35588376","143.25884616"
"101","00003019","旧国鉄士幌線第六音更川橋梁","","登録有形文化財(建造物)","交通","土木構造物","","昭和前","20030131","","北海道","北海道河東郡上士幌町字幌加3-2、4-1","","上士幌町","","43.46585096","143.14606183"
"101","00011615","旧国鉄士幌線幌加駅プラットホーム","","登録有形文化財(建造物)","交通","その他工作物","","昭和前","20170628","","北海道","北海道河東郡上士幌町字幌加2-7","","上士幌町","","43.23264722","143.29623306"
"101","00001210","旧国鉄士幌線勇川橋梁","","登録有形文化財(建造物)","交通","土木構造物","","昭和前","19990823","","北海道","北海道河東郡上士幌町字黒石平48-2、49","","上士幌町","","43.34202298","143.27469489"
"101","00002195","旧国鉄富内線富内駅プラットフォーム","","登録有形文化財(建造物)","交通","その他工作","","大正","20010828","","北海道","北海道勇払郡むかわ町字穂別富内81-1","","穂別町","","42.78352450","142.22026585"
"101","00002196","旧国鉄富内線富内駅構内線路","","登録有形文化財(建造物)","交通","土木構造物","","大正","20010828","","北海道","北海道勇払郡むかわ町字穂別富内81-1","","穂別町","","42.78355782","142.22023611"
"101","00002194","旧国鉄富内線富内駅舎","","登録有形文化財(建造物)","交通","建築物","","大正","20010828","","北海道","北海道勇払郡むかわ町字穂別富内81-1","","穂別町","","42.78355082","142.22042179"
"101","00007444","旧三井芦別鉄道炭山川橋梁","","登録有形文化財(建造物)","交通","土木構造物","","昭和前","20090108","","北海道","北海道芦別市中の丘町～西芦別町","","芦別市","","43.47982402","142.16726842"
"101","00007334","旧上藻別駅逓所","","登録有形文化財(建造物)","交通","建築物","","大正","20081023","","北海道","北海道紋別市上藻別297-1","","紋別市","","44.18621182","143.33569273"
"101","00009572","旧瀬戸家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和中","20130621","","北海道","北海道稚内市中央4-1813-2他","","稚内市","","45.41367941","141.67531629"
"101","00002188","旧西岡水源池取水塔","","登録有形文化財(建造物)","生活関連","その他工作","","明治","20010828","","北海道","北海道札幌市豊平区西岡公園内","","札幌市","","42.98645324","141.38018489"
"101","00008230","旧青山家別邸主屋","","登録有形文化財(建造物)","住宅","建築物","","大正","20100910","","北海道","北海道小樽市祝津3-63","","","","43.23180218","141.00828184"
"101","00008232","旧青山家別邸板塀","","登録有形文化財(建造物)","住宅","その他工作","","大正","20100910","","北海道","北海道小樽市祝津3-63","","","","43.23188738","141.00866221"
"101","00008231","旧青山家別邸文庫蔵","","登録有形文化財(建造物)","住宅","建築物","","大正","20100910","","北海道","北海道小樽市祝津3-63","","","","43.23157893","141.00840193"
"101","00001461","旧丹波屋旅館洋館","","登録有形文化財(建造物)","産業3次","建築物","","昭和前","20000215","","北海道","北海道枝幸郡中頓別町字小頓別91-1","","","","44.82787447","142.30438782"
