台帳ID,管理対象ID,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,都道府県,所在地,保管施設の名称,所有者名,管理団体又は責任者,緯度,経度
"412","00003550","アイヌの伝統と近代開拓による沙流川流域の文化的景観","","重要文化的景観","","","","","20070726","","北海道","沙流郡平取町","","","","42.68102048","142.40369157"
"412","00003491","一関本寺の農村景観","","重要文化的景観","","","","","20060728","","岩手県","一関市","","","","38.97574905","140.96134470"
"412","00003587","遠野
　荒川高原牧場
　土淵山口集落","","重要文化的景観","","","","","20080328","","岩手県","遠野市","","","","39.44750307","141.58730358"
"412","00003812","最上川の流通・往来及び左沢町場の景観","","重要文化的景観","","","","","20130327","","山形県","山形県大江町","","","","",""
"412","00003733","利根川・渡良瀬川合流域の水場景観","","重要文化的景観","","","","","20110921","","群馬県","群馬県邑楽郡板倉町","","","","36.23667958","139.60966466"
"412","00003734","佐渡西三川の砂金山由来の農山村景観","","重要文化的景観","","","","","20110921","","新潟県","新潟県佐渡市","","","","37.90978331","138.31610519"
"412","00003921","佐渡相川の鉱山及び鉱山町の文化的景観","","重要文化的景観","","","","","20151007","","新潟県","新潟県佐渡市","","","","38.01814722","138.36829972"
"412","00003675","金沢の文化的景観　城下町の伝統と文化","","重要文化的景観","","","","","20100222","","石川県","石川県金沢市","","","","36.56563773","136.66332038"
"412","00003922","大沢・上大沢の間垣集落景観","","重要文化的景観","","","","","20151007","","石川県","石川県輪島市","","","","37.39057777","136.89911666"
"412","00003924","小菅の里及び小菅山の文化的景観","","重要文化的景観","","","","","20150126","","長野県","長野県飯山市","","","","36.85166083","138.36551944"
"412","00003676","姨捨の棚田","","重要文化的景観","","","","","20100222","","長野県","長野県千曲市","","","","36.50363153","138.10006327"
"412","00003482","近江八幡の水郷","","重要文化的景観","","","","","20060126","","滋賀県","近江八幡市","","","","35.15898829","136.09814631"
"412","00003588","高島市海津・西浜・知内の水辺景観","","重要文化的景観","","","","","20080328","","滋賀県","高島市","","","","35.46473462","136.07228526"
"412","00003694","高島市針江・霜降の水辺景観","","重要文化的景観","","","","","20100805","","滋賀県","滋賀県高島市","","","","35.34983333","136.03925000"
"412","00003876","菅浦の湖岸集落景観","","重要文化的景観","","","","","20141006","","滋賀県","滋賀県長浜市","","","","35.38150250","136.27545527"
"412","00003925","大溝の水辺景観","","重要文化的景観","","","","","20150126","","滋賀県","滋賀県高島市","","","","35.35303027","136.03636638"
"412","00003630","宇治の文化的景観","","重要文化的景観","","","","","20090212","","京都府","宇治市","","","","34.88713734","135.81272725"
"412","00003923","京都岡崎の文化的景観","","重要文化的景観","","","","","20151007","","京都府","京都府京都市","","","","35.01164444","135.76818027"
"412","00003735","奥飛鳥の文化的景観","","重要文化的景観","","","","","20110921","","奈良県","奈良県高市郡明日香村","","","","34.44590165","135.83511810"
"412","00003855","奥出雲たたら製鉄及び棚田の文化的景観","","重要文化的景観","","","","","20140318","","島根県","島根県仁多郡奥出雲町","","","","35.19741083","133.00251388"
"412","00003677","樫原の棚田","","重要文化的景観","","","","","20100222","","徳島県","徳島県勝浦郡上勝町","","","","33.88552792","134.37895935"
"412","00003980","奥内の棚田及び農山村景観","","重要文化的景観","","","","","20170209","","愛媛県","愛媛県北宇和郡松野町","","","","33.22717222","132.71090556"
"412","00003551","遊子水荷浦の段畑","","重要文化的景観","","","","","20070726","","愛媛県","宇和島市","","","","33.20695474","132.45535189"
"412","00003714","久礼の港と漁師町の景観","","重要文化的景観","","","","","20110207","","高知県","高知県高岡郡中土佐町","","","","33.32804893","133.23809019"
"412","00003635","四万十川流域の文化的景観　下流域の生業と流通・往来","","重要文化的景観","","","","","20090212","","高知県","四万十市","","","","33.09484534","132.80222698"
"412","00003631","四万十川流域の文化的景観　源流域の山村","","重要文化的景観","","","","","20090212","","高知県","高岡郡津野町","","","","33.45946361","133.03595266"
"412","00003632","四万十川流域の文化的景観　上流域の山村と棚田","","重要文化的景観","","","","","20090212","","高知県","高岡郡檮原町","","","","33.37514755","132.91948968"
"412","00003633","四万十川流域の文化的景観　上流域の農山村と流通・往来","","重要文化的景観","","","","","20090212","","高知県","高岡郡中土佐町","","","","33.38377172","133.13223369"
"412","00003634","四万十川流域の文化的景観　中流域の農山村と流通・往来","","重要文化的景観","","","","","20090212","","高知県","高岡郡四万十町","","","","33.17806413","133.06044982"
"412","00003775","求菩提の農村景観","","重要文化的景観","","","","","20120919","","福岡県","","","","","",""
"412","00003604","蕨野の棚田","","重要文化的景観","","","","","20080728","","佐賀県","唐津市","","","","33.29181423","130.03415064"
"412","00003737","五島市久賀島の文化的景観","","重要文化的景観","","","","","20110921","","長崎県","長崎県五島市","","","","32.79349155","128.86278944"
"412","00003736","佐世保市黒島の文化的景観","","重要文化的景観","","","","","20110921","","長崎県","長崎県佐世保市","","","","33.14410320","129.53583488"
"412","00003715","小値賀諸島の文化的景観","","重要文化的景観","","","","","20110207","","長崎県","長崎県北松浦郡小値賀町","","","","33.19347237","129.05440117"
"412","00003777","新上五島町崎浦の五島石集落景観","","重要文化的景観","","","","","20120919","","長崎県","","","","","",""
"412","00003741","新上五島町北魚目の文化的景観","","重要文化的景観","","","","","20120124","","長崎県","","","","","",""
"412","00003776","長崎市外海の石積集落景観","","重要文化的景観","","","","","20120919","","長崎県","","","","","",""
"412","00003678","平戸島の文化的景観","","重要文化的景観","","","","","20100222","","長崎県","長崎県平戸市","","","","33.34263004","129.45922712"
"412","00003926","三角浦の文化的景観","","重要文化的景観","","","","","20150126","","熊本県","熊本県宇城市","","","","32.64808583","130.68443305"
"412","00003605","通潤用水と白糸台地の棚田景観","","重要文化的景観","","","","","20080728","","熊本県","上益城郡山都町","","","","32.66393295","131.00150232"
"412","00003716","天草市﨑津・今富の文化的景観","","重要文化的景観","","","","","20110207","","熊本県","熊本県天草市","","","","32.31219335","130.02376624"
"412","00003589","小鹿田焼の里","","重要文化的景観","","","","","20080328","","大分県","日田市","","","","33.43031648","130.90908900"
"412","00003695","田染荘小崎の農村景観","","重要文化的景観","","","","","20100805","","大分県","大分県豊後高田市田染小崎、田染真中","","","","33.50854136","131.50797444"
"412","00003778","別府の湯けむり・温泉地景観","","重要文化的景観","","","","","20120919","","大分県","","","","","",""
